pid,date,min_irrigated_yield,max_irrigated_yield,avg_irrigated_yield,stddev_irrigated_yield,min_nonirrigated_yield,max_nonirrigated_yield,avg_nonirrigated_yield,stddev_nonirrigated_yield,avg_irrigation,stddev_irrigation,max_irrigated_type,max_nonirrigated_type
292034,2020-09-01,8.43,43.51,25.35,13.06,2.59,6.81,5.02,1.57,366.39,127.98,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
304456,2020-09-01,11.44,56.91,33.18,17.08,6.71,15.54,11.02,3.35,412.84,160.43,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-raspalje"
293772,2020-09-01,3.95,25.07,14.19,8.01,1.56,4.86,3.03,1.17,303.33,122.31,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-raspalje"
289475,2020-09-01,6.04,33.32,19.31,10.14,3.94,9.72,6.80,2.08,262.96,104.12,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289796,2020-09-01,7.82,40.42,23.54,12.18,1.68,4.93,3.55,1.25,353.32,123.71,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-beaupre-best,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
291244,2020-09-01,8.01,40.85,23.84,12.24,2.15,5.77,4.14,1.41,365.32,123.14,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
291817,2020-09-01,8.20,42.84,24.94,12.89,2.70,7.03,5.20,1.64,340.92,124.72,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
295084,2020-09-01,5.94,35.78,20.47,11.35,1.84,5.07,3.46,1.23,332.43,136.73,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013,gr-fischer2013"
292618,2020-09-01,4.88,27.94,16.13,8.45,4.20,10.89,6.45,2.29,198.13,89.35,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
293508,2020-09-01,5.26,29.71,17.17,9.08,2.13,6.11,3.85,1.46,268.01,109.92,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
291365,2020-09-01,8.67,43.81,25.62,13.03,2.43,6.86,4.68,1.68,350.86,124.50,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
291924,2020-09-01,8.52,43.31,25.27,12.95,1.96,5.37,3.99,1.26,363.45,126.21,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,gr-fischer2013,srwc-pont-raspalje"
295649,2020-09-01,6.66,38.82,22.30,12.15,2.29,6.82,4.40,1.44,343.99,137.43,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
297503,2020-09-01,6.64,36.22,21.09,10.97,1.85,5.57,3.66,1.33,363.18,132.32,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje,gr-fischer2013"
292378,2020-09-01,7.77,40.82,23.82,12.21,6.25,12.94,9.72,2.67,250.67,108.60,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-raspalje"
292254,2020-09-01,9.45,46.80,27.45,13.78,3.46,8.66,6.29,1.92,366.49,127.51,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289468,2020-09-01,5.72,33.63,19.32,10.50,2.47,6.35,4.55,1.33,304.30,116.85,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
287586,2020-09-01,6.90,34.30,20.07,10.14,6.06,14.12,9.88,3.04,214.69,91.97,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-hart12coppice,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
292452,2020-09-01,12.23,49.73,30.02,13.48,12.23,32.46,21.34,7.86,178.32,67.57,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
287308,2020-09-01,11.68,45.24,27.49,11.96,11.68,42.96,26.93,11.25,60.43,32.98,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
289238,2020-09-01,7.29,37.78,22.03,11.33,2.38,6.53,4.52,1.56,318.05,114.78,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
293439,2020-09-01,4.11,24.52,13.95,7.60,1.66,5.20,3.35,1.29,275.58,111.87,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-fritzi-best"
295778,2020-09-01,5.55,31.24,18.03,9.59,1.85,5.20,3.41,1.24,328.29,125.05,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,gr-fischer2013,srwc-pont-raspalje"
296228,2020-09-01,5.92,35.94,20.57,11.40,1.81,5.17,3.30,1.20,363.05,144.33,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje"
289703,2020-09-01,6.17,34.38,19.91,10.47,5.19,13.17,9.40,3.22,235.02,99.16,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-raspalje-best,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
292791,2020-09-01,12.75,51.15,30.91,13.82,12.75,34.46,22.94,8.38,167.19,62.80,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-fritzi-best,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
294409,2020-09-01,6.35,35.92,20.69,11.16,2.02,5.75,4.05,1.44,321.56,129.75,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje"
297124,2020-09-01,6.14,35.96,20.72,11.19,2.25,6.42,4.60,1.41,311.33,132.40,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
300317,2020-09-01,5.36,35.16,20.03,11.35,1.24,4.17,2.31,1.03,411.27,155.40,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","gr-fischer2013,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013"
287474,2020-09-01,6.67,33.18,19.42,9.79,6.67,14.51,10.48,3.26,175.06,82.07,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289062,2020-09-01,8.11,36.74,21.78,10.49,6.73,16.07,10.88,3.31,170.77,79.54,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
293461,2020-09-01,13.34,52.49,31.82,14.06,13.34,35.39,22.96,8.49,154.44,60.20,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
296331,2020-09-01,5.69,35.88,20.42,11.53,1.29,3.66,2.33,0.86,366.65,145.78,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,gr-fischer2013,srwc-pont-raspalje,gr-fischer2013"
291060,2020-09-01,7.12,36.82,21.50,10.96,7.12,22.73,15.06,6.10,166.39,80.45,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best"
291696,2020-09-01,9.34,44.52,26.30,12.89,2.01,6.00,4.23,1.55,359.62,120.76,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,gr-fischer2013,srwc-pont-raspalje,srwc-pont-raspalje"
288132,2020-09-01,6.01,32.02,18.55,9.72,6.01,14.24,10.34,3.44,192.21,88.88,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-beaupre-best"
294527,2020-09-01,6.14,36.34,20.81,11.49,3.10,8.20,5.37,1.73,321.13,134.24,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289249,2020-09-01,6.23,33.40,19.41,10.09,2.78,8.02,5.55,1.82,269.27,103.92,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
295776,2020-09-01,7.11,36.35,21.29,10.81,2.14,6.18,4.00,1.53,330.41,123.37,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","gr-fischer2013,srwc-pont-raspalje,gr-fischer2013,srwc-pont-raspalje"
295556,2020-09-01,5.17,30.29,17.39,9.42,2.16,6.25,4.02,1.42,318.77,123.11,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
289061,2020-09-01,7.71,35.98,21.23,10.41,4.60,12.26,7.93,2.49,194.36,89.32,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
291505,2020-09-01,5.53,31.45,18.28,9.47,5.53,17.93,12.61,4.92,148.71,73.17,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-hart12coppice,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best"
289597,2020-09-01,6.38,33.93,19.79,10.13,6.38,15.53,11.11,3.66,190.98,82.30,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-beaupre-best,srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-raspalje"
288910,2020-09-01,5.99,33.50,19.34,10.30,2.55,6.84,4.85,1.52,276.81,109.30,"srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
291387,2020-09-01,6.80,36.45,21.25,10.90,4.45,10.88,7.54,2.17,216.69,97.81,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
301983,2020-09-01,11.48,56.11,32.74,16.77,8.74,23.06,15.41,5.30,350.15,145.34,"srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best","srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-raspalje,srwc-pont-beaupre-best"
290701,2020-09-01,7.08,39.32,22.74,12.06,3.14,8.04,5.56,1.72,323.02,122.47,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best","srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje,srwc-pont-raspalje"
292048,2020-09-01,8.12,41.02,24.11,12.03,8.02,19.18,13.06,4.55,201.74,86.38,"srwc-pont-beaupre-best,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best","srwc-pont-raspalje,srwc-pont-beaupre-best,srwc-pont-fritzi-best,srwc-pont-beaupre-best"
